id,type,level,item_name,prompt
36,Seafood,10,Seafood Paella,"seafood paella in a pan, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
37,Seafood,11,Lobster Thermidor,"baked lobster thermidor in shell, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
38,Seafood,12,Seafood Tower Platter,"multi-tiered seafood tower platter, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
39,Seafood,13,Neptunian Seafood Feast,"grand seafood platter with giant lobster, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
40,Vegetables,1,Wooden Veggie Basket,"wooden vegetable basket, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
41,Vegetables,2,Green Onion,"bunch of fresh green onions, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
42,Vegetables,3,Celery Stalk,"celery stalk, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
43,Vegetables,4,Cucumber Slice,"cucumber slice, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
44,Vegetables,5,Red Chili Pepper,"red chili pepper, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
45,Vegetables,6,Lettuce Leaf,"green lettuce leaf, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
46,Vegetables,7,Cherry Tomato,"red cherry tomato, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
47,Vegetables,8,Fresh Mushroom,"fresh mushroom, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
48,Vegetables,9,Sweet Corn Cob,"corn cob, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
49,Vegetables,10,Broccoli Florets,"broccoli floret, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
50,Vegetables,11,Purple Eggplant,"purple eggplant, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
51,Vegetables,12,Garden Salad Bowl,"garden salad bowl, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
52,Vegetables,13,Roasted Veggies Platter,"platter of roasted vegetables, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
53,Sushi,1,Rice Cooker,"electric rice cooker, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
54,Sushi,2,Raw Rice Bag,"small burlap bag of raw rice, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
55,Sushi,3,Steamed Rice Bowl,"bowl of steamed white rice, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
56,Sushi,4,Cooked Onigiri,"triangular rice onigiri wrapped in seaweed, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
57,Sushi,5,Cucumber Roll (Maki),"cucumber maki sushi roll, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
58,Sushi,6,Salmon Nigiri,"salmon nigiri sushi, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
59,Sushi,7,Shrimp Nigiri,"shrimp nigiri sushi, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
60,Sushi,8,California Roll,"california roll sushi slice, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
61,Sushi,9,Spicy Tuna Roll,"spicy tuna sushi roll, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
62,Sushi,10,Dragon Eel Roll,"dragon eel sushi roll, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
63,Sushi,11,Sashimi Platter,"sashimi platter, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
64,Sushi,12,Deluxe Sushi Boat,"sushi boat filled with sushi, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
65,Sushi,13,Emperor's Omakase Tray,"luxury omakase sushi tray, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
66,Dairy,1,Milk Jug,"glass milk jug, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
67,Dairy,2,Butter Pat,"pat of butter, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
68,Dairy,3,Cheese Cube,"yellow cheese cube, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
69,Dairy,4,Slice of Swiss Cheese,"slice of swiss cheese, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
70,Dairy,5,Mozzarella Ball,"mozzarella cheese ball, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
71,Dairy,6,Wedge of Cheddar Cheese,"wedge of cheddar cheese, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
72,Dairy,7,Wheel of Brie Cheese,"wheel of brie cheese, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
73,Dairy,8,Blue Cheese Block,"block of blue cheese, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
74,Dairy,9,Sour Cream Tub,"sour cream tub, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
75,Dairy,10,Whipped Cream Bowl,"bowl of whipped cream, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
76,Dairy,11,Cheese Fondue Pot,"cheese fondue pot, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
77,Dairy,12,Gourmet Cheese Board,"cheese board platter, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
78,Dairy,13,Ultimate Wine & Cheese Buffet,"luxury cheese and wine display platter, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
79,Bakery,1,Flour Sack,"canvas flour sack, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
80,Bakery,2,Yeast & Sugar Bowl,"yeast and sugar in a small bowl, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
81,Bakery,3,Wheat Flour Pile,"pile of white flour, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
82,Bakery,4,Raw Dough Ball,"raw dough ball, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
83,Bakery,5,Single Bread Slice,"slice of white bread, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
84,Bakery,6,Croissant,"golden croissant, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
85,Bakery,7,French Baguette,"french baguette, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
86,Bakery,8,Cinnamon Roll,"cinnamon roll with icing, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
87,Bakery,9,Soft Pretzel,"salted soft pretzel, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
88,Bakery,10,Garlic Bread,"garlic bread slices, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
89,Bakery,11,Chocolate Babka,"chocolate babka loaf, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
90,Bakery,12,Bread Basket Platter,"bread basket, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
91,Bakery,13,Multi-tiered Wedding Cake,"giant multi-tiered wedding cake, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
92,Fruit,1,Fruit Crate,"wooden fruit crate, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
93,Fruit,2,Lime Slice,"lime slice, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
94,Fruit,3,Fresh Strawberry,"fresh strawberry, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
95,Fruit,4,Ripe Banana,"yellow banana, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
96,Fruit,5,Sweet Apple,"red apple, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
97,Fruit,6,Orange Wedges,"orange wedges, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
98,Fruit,7,Juicy Watermelon Slice,"watermelon slice, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
99,Fruit,8,Rainbow Fruit Skewer,"fruit skewer, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
100,Fruit,9,Fruit Salad Cup,"fruit salad in a cup, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
101,Fruit,10,Peach Cobbler,"peach cobbler dessert, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
102,Fruit,11,Strawberry Shortcake,"strawberry shortcake slice, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
103,Fruit,12,Glazed Fruit Tart,"fruit tart, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
104,Fruit,13,Giant Fruit Cornucopia,"giant fruit cornucopia basket, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
105,Bistro,1,Takeout Paper Bag,"paper fast food bag, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
106,Bistro,2,French Fries Cup,"french fries in a red cup, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
107,Bistro,3,Onion Rings Plate,"onion rings, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
108,Bistro,4,Grilled Hot Dog,"hot dog in a bun, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
109,Bistro,5,Classic Cheeseburger,"cheeseburger, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
110,Bistro,6,Double Bacon Burger,"double bacon cheeseburger, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
111,Bistro,7,Pepperoni Pizza Slice,"pepperoni pizza slice, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
112,Bistro,8,Chicken Nuggets Basket,"chicken nuggets in a basket, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
113,Bistro,9,Crispy Beef Taco,"crispy beef taco, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
114,Bistro,10,Loaded Nachos Platter,"nachos with cheese, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
115,Bistro,11,Whole Supreme Pizza,"whole supreme pizza, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
116,Bistro,12,Fast Food Combo Tower,"fast food combo tower, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
117,Bistro,13,Giant Party Pizza,"giant party pizza, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
118,Beverages,1,Beverage Pitcher,"beverage pitcher, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
119,Beverages,2,Fresh Water Glass,"glass of water with ice, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
120,Beverages,3,Cold Lemonade Glass,"glass of lemonade, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
121,Beverages,4,Iced Sweet Tea Bottle,"iced tea bottle, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
122,Beverages,5,Espresso Cup,"espresso cup, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
123,Beverages,6,Cappuccino Cup with Art,"cappuccino cup with latte art, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
124,Beverages,7,Hot Cocoa Mug with Marshmallows,"mug of hot cocoa with marshmallows, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
